Predicted Price,Actual Price,Error
7788000.0,7800000,-12000.0
8469785.714285715,8500000,-30214.28571428545
7479000.0,7400000,79000.0
7208100.0,7200000,8100.0
8436733.333333332,8400000,36733.33333333209
7812328.571428571,7750000,62328.5714285709
7552000.0,7600000,-48000.0
8629966.666666666,8600000,29966.666666666046
7858000.0,7900000,-42000.0
9888766.666666666,9950000,-61233.333333333954
7554000.0,7600000,-46000.0
8593000.0,8500000,93000.0
8212000.0,8200000,12000.0
9602273.809523812,9700000,-97726.19047618844
8480066.666666668,8500000,-19933.33333333209
8476600.0,8500000,-23400.0
10268000.0,10350000,-82000.0
7166000.0,7200000,-34000.0
7466000.0,7600000,-134000.0
7226000.0,7200000,26000.0
8873866.666666666,8800000,73866.66666666605
8022000.0,7950000,72000.0
7564683.333333332,7550000,14683.333333332092
8392880.952380951,8400000,-7119.047619048506
8424666.666666668,8500000,-75333.33333333209
9602273.809523812,9700000,-97726.19047618844
8472000.0,8500000,-28000.0
9381000.0,9200000,181000.0
8628000.0,8700000,-72000.0
8318000.0,8400000,-82000.0
8596666.666666666,8700000,-103333.33333333395
7724000.0,7800000,-76000.0
7920883.333333335,7950000,-29116.666666665114
8323500.0,8400000,-76500.0
8579500.0,8700000,-120500.0
